sense_question,wordnet_sense
bear n_say_1,bear.n.01
bear v_say_1,bear.v.01
bear v_say_10,bear.v.11
bear v_say_11,hold.v.14
bear v_say_12,have_a_bun_in_the_oven.v.01
bear v_say_2,give_birth.v.01
bear v_say_3,digest.v.03
bear v_say_4,bear.v.04
bear v_say_5,bear.v.05
bear v_say_6,bear.v.06
bear v_say_7,hold.v.11
bear v_say_8,wear.v.02
bear v_say_9,behave.v.02
bear v_understand_1,bear.v.01
bear v_understand_10,bear.v.11
bear v_understand_11,hold.v.14
bear v_understand_12,have_a_bun_in_the_oven.v.01
bear v_understand_2,give_birth.v.01
bear v_understand_3,digest.v.03
bear v_understand_4,bear.v.04
bear v_understand_5,bear.v.05
bear v_understand_6,bear.v.06
bear v_understand_7,hold.v.11
bear v_understand_8,wear.v.02
bear v_understand_9,behave.v.02
bed n_say_1,bed.n.01
bed n_say_2,bed.n.02
bed n_say_3,bed.n.03
bed n_say_4,layer.n.01
bed n_say_5,bed.n.08
bed v_say_1,bed.v.01
bed v_say_2,bed.v.02
bed v_say_3,bed.v.03
bed v_say_4,go_to_bed.v.01
bed v_understand_1,bed.v.01
bed v_understand_2,bed.v.02
bed v_understand_3,bed.v.03
bed v_understand_4,go_to_bed.v.01
bedroom calibration_say_1,bedroom.n.01
bedroom calibration_understand_1,bedroom.n.01
bedroom n_say_1,bedroom.n.01
bee n_say_1,bee.n.01
bee n_say_2,bee.n.02
behind adj_say_1,behind.s.01
behind adj_understand_1,behind.s.01
behind n_say_1,buttocks.n.01
behind r_say_1,behind.r.01
behind r_say_2,behind.r.02
behind r_say_3,behind.r.03
behind r_say_4,behind.r.04
behind r_say_5,behind.r.05
belly n_say_1,abdomen.n.01
belly n_say_2,belly.n.02
belly n_say_3,belly.n.03
belly n_say_4,belly.n.04
belly n_say_5,belly.n.05
belly v_say_1,belly.v.01
belly v_understand_1,belly.v.01
belt n_say_1,belt.n.01
belt n_say_2,belt.n.02
belt n_say_3,belt.n.03
belt n_say_4,knock.n.03
belt n_say_5,swath.n.02
belt n_say_6,knock.n.05
belt v_say_1,belt_out.v.01
belt v_say_2,belt.v.02
belt v_say_3,belt.v.03
belt v_understand_1,belt_out.v.01
belt v_understand_2,belt.v.02
belt v_understand_3,belt.v.03
bench n_say_1,bench.n.01
bench n_say_2,terrace.n.02
bench n_say_3,workbench.n.01
bench n_say_4,bench.n.06
bench v_say_1,bench.v.01
bench v_say_2,bench.v.02
bench v_understand_1,bench.v.01
bench v_understand_2,bench.v.02
better adj_say_1,better.a.01
better adj_say_10,adept.s.01
better adj_say_11,good.s.09
better adj_say_12,dear.s.02
better adj_say_13,dependable.s.04
better adj_say_14,good.s.12
better adj_say_15,good.s.13
better adj_say_16,good.s.15
better adj_say_17,good.s.16
better adj_say_18,good.s.17
better adj_say_19,good.s.18
better adj_say_2,better.a.02
better adj_say_20,good.s.20
better adj_say_21,good.s.21
better adj_say_22,well.a.01
better adj_say_23,well.s.03
better adj_say_3,better.s.03
better adj_say_4,better.s.04
better adj_say_5,full.s.06
better adj_say_6,estimable.s.02
better adj_say_7,beneficial.s.01
better adj_say_8,good.s.06
better adj_say_9,good.s.07
better adj_understand_1,better.a.01
better adj_understand_10,adept.s.01
better adj_understand_11,good.s.09
better adj_understand_12,dear.s.02
better adj_understand_13,dependable.s.04
better adj_understand_14,good.s.12
better adj_understand_15,good.s.13
better adj_understand_16,good.s.15
better adj_understand_17,good.s.16
better adj_understand_18,good.s.17
better adj_understand_19,good.s.18
better adj_understand_2,better.a.02
better adj_understand_20,good.s.20
better adj_understand_21,good.s.21
better adj_understand_22,well.a.01
better adj_understand_23,well.s.03
better adj_understand_3,better.s.03
better adj_understand_4,better.s.04
better adj_understand_5,full.s.06
better adj_understand_6,estimable.s.02
better adj_understand_7,beneficial.s.01
better adj_understand_8,good.s.06
better adj_understand_9,good.s.07
better n_say_1,better.n.01
better n_say_2,better.n.03
better n_say_3,better.n.04
better r_say_1,better.r.01
better r_say_10,well.r.08
better r_say_11,well.r.09
better r_say_12,well.r.10
better r_say_13,well.r.11
better r_say_14,well.r.12
better r_say_15,well.r.13
better r_say_2,better.r.02
better r_say_3,well.r.01
better r_say_4,well.r.02
better r_say_5,well.r.03
better r_say_6,well.r.04
better r_say_7,well.r.05
better r_say_8,well.r.06
better r_say_9,well.r.07
better v_say_1,better.v.01
better v_say_2,better.v.02
better v_say_3,better.v.03
better v_understand_1,better.v.01
better v_understand_2,better.v.02
better v_understand_3,better.v.03
bib n_say_1,bib.n.01
bib n_say_2,bib.n.02
bicycle n_say_1,bicycle.n.01
bicycle v_say_1,bicycle.v.01
bicycle v_understand_1,bicycle.v.01
big adj_say_1,large.a.01
big adj_say_10,big.s.10
big adj_say_11,big.s.11
big adj_say_12,big.s.12
big adj_say_13,big.s.13
big adj_say_2,big.s.02
big adj_say_3,bad.s.02
big adj_say_4,big.s.04
big adj_say_5,big.s.05
big adj_say_6,big.s.06
big adj_say_7,boastful.s.01
big adj_say_8,big.s.08
big adj_say_9,adult.s.01
big adj_understand_1,large.a.01
big adj_understand_10,big.s.10
big adj_understand_11,big.s.11
big adj_understand_12,big.s.12
big adj_understand_13,big.s.13
big adj_understand_2,big.s.02
big adj_understand_3,bad.s.02
big adj_understand_4,big.s.04
big adj_understand_5,big.s.05
big adj_understand_6,big.s.06
big adj_understand_7,boastful.s.01
big adj_understand_8,big.s.08
big adj_understand_9,adult.s.01
big r_say_1,big.r.01
big r_say_2,boastfully.r.01
big r_say_3,big.r.03
big r_say_4,big.r.04
bird n_say_1,bird.n.01
bird n_say_2,bird.n.02
bird n_say_3,boo.n.01
bird n_say_4,shuttlecock.n.01
bird v_say_1,bird.v.01
bird v_understand_1,bird.v.01
bite n_say_1,bite.n.01
bite n_say_2,morsel.n.02
bite n_say_3,sting.n.03
bite n_say_4,bite.n.04
bite n_say_5,bite.n.05
bite n_say_6,pungency.n.01
bite n_say_7,pungency.n.02
bite n_say_8,bite.n.08
bite n_say_9,bite.n.09
bite v_say_1,bite.v.01
bite v_say_2,bite.v.02
bite v_say_3,bite.v.03
bite v_say_4,sting.v.02
bite v_understand_1,bite.v.01
bite v_understand_2,bite.v.02
bite v_understand_3,bite.v.03
bite v_understand_4,sting.v.02
black adj_say_1,black.a.01
black adj_say_10,black.s.13
black adj_say_11,black.s.14
black adj_say_2,black.a.02
black adj_say_3,black.s.05
black adj_say_4,black.s.06
black adj_say_5,black.s.07
black adj_say_6,black.s.08
black adj_say_7,black.s.09
black adj_say_8,bootleg.s.01
black adj_say_9,black.s.12
black adj_understand_1,black.a.01
black adj_understand_10,black.s.13
black adj_understand_11,black.s.14
black adj_understand_2,black.a.02
black adj_understand_3,black.s.05
black adj_understand_4,black.s.06
black adj_understand_5,black.s.07
black adj_understand_6,black.s.08
black adj_understand_7,black.s.09
black adj_understand_8,bootleg.s.01
black adj_understand_9,black.s.12
black n_say_1,black.n.01
black n_say_2,total_darkness.n.01
black n_say_3,black.n.05
black n_say_4,black.n.06
